accuracy,loss,val_accuracy,val_loss
0.15326467156410217,2.8237054347991943,0.1780293881893158,2.744248151779175
0.2362366020679474,2.4975104331970215,0.3119730055332184,2.257901668548584
0.31725093722343445,2.2029049396514893,0.3885810673236847,2.022254228591919
0.389139860868454,1.969688892364502,0.4745844304561615,1.6975681781768799
0.441754013299942,1.7876322269439697,0.47506624460220337,1.7608450651168823
0.4906637668609619,1.6334998607635498,0.5369790196418762,1.4895920753479004
0.5252379179000854,1.5074883699417114,0.5422789454460144,1.4891504049301147
0.5589386820793152,1.3930643796920776,0.6025054454803467,1.297904133796692
0.5886639952659607,1.307562232017517,0.5933510065078735,1.317622423171997
0.6076978445053101,1.234772801399231,0.6200915575027466,1.2687878608703613
0.6247740983963013,1.1720439195632935,0.6294868588447571,1.23241126537323
0.6455246210098267,1.113764762878418,0.6494820713996887,1.1975393295288086
0.6587459444999695,1.0687447786331177,0.6586364507675171,1.1927509307861328
0.6704312562942505,1.0262972116470337,0.6718862652778625,1.1217721700668335
0.6838333010673523,0.9760718941688538,0.6774271130561829,1.0871204137802124
0.6953378915786743,0.9455929398536682,0.6689954400062561,1.144532322883606
0.703288733959198,0.9115708470344543,0.6781498193740845,1.090935230255127
0.7114503979682922,0.8904926776885986,0.699349582195282,1.055424690246582
0.7210276126861572,0.8553636074066162,0.6998313665390015,1.053161382675171
0.7280749082565308,0.832719624042511,0.7150084376335144,1.002328634262085
0.7330442070960999,0.8186150789260864,0.6986268162727356,1.0461379289627075
0.7419888973236084,0.7873651385307312,0.7056130766868591,1.0429450273513794
0.7462353706359863,0.7780989408493042,0.7171765565872192,0.9908914566040039
0.7524394392967224,0.7530660629272461,0.7231992483139038,0.9962007999420166
0.7626189589500427,0.7255690097808838,0.701758623123169,1.0676172971725464
0.767768919467926,0.7102066278457642,0.6926041841506958,1.1114797592163086
